"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
332,"ENS","Enersys","Industrials","Electrical Equipment & Parts","USA",5933.07,19.93,161.00,0.78%,475043
333,"ENVA","Enova International Inc","Financial","Credit Services","USA",3354.13,11.58,134.11,-0.96%,211256
334,"EPAM","EPAM Systems Inc","Technology","Information Technology Services","USA",7424.76,20.38,137.14,0.98%,1356118
335,"EPR","EPR Properties","Real Estate","REIT - Specialty","USA",4286.65,17.09,56.02,0.39%,587059
336,"EPRT","Essential Properties Realty Trust Inc","Real Estate","REIT - Retail","USA",6931.68,25.85,32.95,-0.21%,1965689
337,"EQPT","Equipmentshare.Com Inc","Industrials","Rental & Leasing Services","USA",6392.64,,25.44,-1.70%,1053342
338,"ERAS","Erasca Inc","Healthcare","Biotechnology","USA",4233.09,,13.62,-7.03%,5345475
339,"ERO","Ero Copper Corp","Basic Materials","Copper","Canada",2723.79,10.32,26.12,-4.36%,1097060
340,"ESAB","ESAB Corp","Industrials","Metal Fabrication","USA",5947.16,26.57,97.93,-5.47%,627945
341,"ESE","Esco Technologies, Inc","Technology","Scientific & Technical Instruments","USA",6831.82,51.85,263.82,-0.98%,129541
342,"ESI","Element Solutions Inc","Basic Materials","Specialty Chemicals","USA",7548.49,39.40,30.99,2.99%,3703799
343,"ESNT","Essent Group Ltd","Financial","Insurance - Specialty","Bermuda",5491.99,8.43,58.09,0.69%,659653
344,"ESTC","Elastic N.V","Technology","Software - Application","USA",5329.27,,51.49,-0.41%,2035930
345,"ETOR","Etoro Group Ltd","Financial","Capital Markets","Israel",2439.22,11.70,30.11,0.43%,921761
346,"ETSY","Etsy Inc","Consumer Cyclical","Internet Retail","USA",5006.78,38.33,52.02,0.06%,2015775
347,"ETY","Eaton Vance Tax-Managed Diversified Equity Income Fund","Financial","Closed-End Fund - Equity","USA",2272.42,7.39,14.27,-0.42%,225794
348,"EWTX","Edgewise Therapeutics Inc","Healthcare","Biotechnology","USA",3174.13,,29.59,-1.17%,702239
349,"EXG","Eaton Vance Tax-Managed Global Diversified Equity Income Fund","Financial","Closed-End Fund - Foreign","USA",2747.31,6.55,8.98,-1.10%,326892
350,"EXK","Endeavour Silver Corp","Basic Materials","Silver","Canada",2948.43,,9.97,-7.51%,10469722
351,"EXLS","ExlService Holdings Inc","Technology","Information Technology Services","USA",4635.21,19.20,29.64,-0.24%,2237538
352,"EXP","Eagle Materials Inc","Basic Materials","Building Materials","USA",5861.15,14.12,186.47,0.02%,352895
353,"EXPO","Exponent Inc","Industrials","Engineering & Construction","USA",3318.27,32.56,67.37,-3.32%,434591
354,"EYE","National Vision Holdings Inc","Consumer Cyclical","Specialty Retail","USA",2087.61,71.03,26.28,1.35%,972504
355,"FAF","First American Financial Corp","Financial","Insurance - Specialty","USA",6690.75,10.92,65.66,3.58%,1055072
356,"FBIN","Fortune Brands Innovations Inc","Industrials","Building Products & Equipment","USA",5178.70,17.47,43.16,-0.25%,1650921
357,"FBK","FB Financial Corp","Financial","Banks - Regional","USA",2648.43,21.26,51.17,0.08%,206046
358,"FBNC","First Bancorp","Financial","Banks - Regional","USA",2206.18,19.85,53.19,-0.95%,212359
359,"FBP","First Bancorp PR","Financial","Banks - Regional","USA",3217.41,9.57,20.55,-1.39%,2360622
360,"FCFS","FirstCash Holdings Inc","Financial","Credit Services","USA",8492.13,26.01,193.07,1.11%,210677
361,"FCN","FTI Consulting Inc","Industrials","Consulting Services","USA",4972.00,,162.58,0.09%,349567
